,T0,T1,T2,u0,u1,u2,Ta0,Ta1,Ta2,y
50,-0.037131421,-0.035638181,-0.036786318,0.172982858,0.170131902,0.168757964,0.22,0.2175,0.215,0.025088309
51,-0.03211376,-0.037131421,-0.035638181,0.172118745,0.172982858,0.170131902,0.223333333,0.22,0.2175,-0.032558587
52,-0.038625477,-0.03211376,-0.037131421,0.177701344,0.172118745,0.172982858,0.226666667,0.223333333,0.22,0.109842194
53,-0.016657038,-0.038625477,-0.03211376,0.167032282,0.177701344,0.172118745,0.23,0.226666667,0.223333333,-0.02955357
54,-0.022567752,-0.016657038,-0.038625477,0.171405589,0.167032282,0.177701344,0.233333333,0.23,0.226666667,0.006583467
55,-0.021251059,-0.022567752,-0.016657038,0.171891282,0.171405589,0.167032282,0.235,0.233333333,0.23,0.029126149
56,-0.015425829,-0.021251059,-0.022567752,0.169673846,0.171891282,0.171405589,0.236666667,0.235,0.233333333,-0.045821361
57,-0.024590101,-0.015425829,-0.021251059,0.175876661,0.169673846,0.171891282,0.238333333,0.236666667,0.235,0.023688728
58,-0.019852355,-0.024590101,-0.015425829,0.174479093,0.175876661,0.169673846,0.24,0.238333333,0.236666667,0.070111587
59,-0.005830038,-0.019852355,-0.024590101,0.167402317,0.174479093,0.175876661,0.24,0.24,0.238333333,0.054525691
60,0.0050751,-0.005830038,-0.019852355,0.161364877,0.167402317,0.174479093,0.24,0.24,0.24,0.003805474
61,0.005836195,0.0050751,-0.005830038,0.160638955,0.161364877,0.167402317,0.24,0.24,0.24,0.06214769
62,0.018265733,0.005836195,0.0050751,0.153064158,0.160638955,0.161364877,0.24,0.24,0.24,-0.028478818
63,0.012569969,0.018265733,0.005836195,0.155371924,0.153064158,0.160638955,0.221666667,0.24,0.24,-0.045182077
64,0.003533554,0.012569969,0.018265733,0.159944835,0.155371924,0.153064158,0.203333333,0.221666667,0.24,-0.000880685
65,0.003357417,0.003533554,0.012569969,0.159851273,0.159944835,0.155371924,0.185,0.203333333,0.221666667,0.059549603
66,0.015267338,0.003357417,0.003533554,0.152717296,0.159851273,0.159944835,0.166666667,0.185,0.203333333,-0.095352169
67,-0.003803096,0.015267338,0.003357417,0.16299353,0.152717296,0.159851273,0.160833333,0.166666667,0.185,-0.051457793
68,-0.014094655,-0.003803096,0.015267338,0.169208223,0.16299353,0.152717296,0.155,0.160833333,0.166666667,0.042611181
69,-0.005572419,-0.014094655,-0.003803096,0.165019955,0.169208223,0.16299353,0.149166667,0.155,0.160833333,-0.022348954
70,-0.01004221,-0.005572419,-0.014094655,0.167936911,0.165019955,0.169208223,0.143333333,0.149166667,0.155,0.026682208
71,-0.004705768,-0.01004221,-0.005572419,0.165381888,0.167936911,0.165019955,0.138333333,0.143333333,0.149166667,-0.026556992
72,-0.010017166,-0.004705768,-0.01004221,0.168741635,0.165381888,0.167936911,0.133333333,0.138333333,0.143333333,0.010569261
73,-0.007903314,-0.010017166,-0.004705768,0.168065064,0.168741635,0.165381888,0.128333333,0.133333333,0.138333333,0.01623092
74,-0.00465713,-0.007903314,-0.010017166,0.166610529,0.168065064,0.168741635,0.123333333,0.128333333,0.133333333,-0.028333562
75,-0.010323843,-0.00465713,-0.007903314,0.170174841,0.166610529,0.168065064,0.105833333,0.123333333,0.128333333,-0.014630043
76,-0.013249851,-0.010323843,-0.00465713,0.172455226,0.170174841,0.166610529,0.088333333,0.105833333,0.123333333,-0.020645411
77,-0.017378933,-0.013249851,-0.010323843,0.17559996,0.172455226,0.170174841,0.070833333,0.088333333,0.105833333,0.000697005
78,-0.017239532,-0.017378933,-0.013249851,0.176484139,0.17559996,0.172455226,0.053333333,0.070833333,0.088333333,-0.032392378
79,-0.023718008,-0.017239532,-0.017378933,0.181221002,0.176484139,0.17559996,0.0475,0.053333333,0.070833333,-0.048772666
80,-0.033472541,-0.023718008,-0.017239532,0.188228813,0.181221002,0.176484139,0.041666667,0.0475,0.053333333,-0.01296082
