x0,x1,y
1.065134809101789,1.0958241942238534,-0.04062387030959691
1.024510938792192,1.065134809101789,-0.050379706758642895
0.9741312320335491,1.024510938792192,-0.060145554801029455
0.9139856772325197,0.9741312320335491,-0.07012096306338744
0.8438647141691322,0.9139856772325197,-0.08050548017234815
0.7633592339967841,0.8438647141691322,-0.091498654754542
0.6718605792422421,0.7633592339967841,-0.10330003543660016
0.5685605438056419,0.6718605792422421,-0.11610824168360623
0.4524523021220357,0.5685605438056419,-0.13011643488760816
0.32233586723442753,0.4524523021220357,-0.14539484911599426
0.17694101811843327,0.32233586723442753,-0.16166113627657397
0.0152798818418593,0.17694101811843327,-0.17840402980263959
-0.16312414796078029,0.0152798818418593,-0.19447124030925528
-0.35759538827003556,-0.16312414796078029,-0.2077642878567738
-0.5653596761268094,-0.35759538827003556,-0.21595768975768226
-0.7813173658844916,-0.5653596761268094,-0.2154837462000898
-0.9968011120845814,-0.7813173658844916,-0.20432402894777035
-1.2011251410323518,-0.9968011120845814,-0.18308744533112797
-1.3842125863634798,-1.2011251410323518,-0.1526887971699038
-1.5369013835333836,-1.3842125863634798,-0.11765674748709154
-1.654558131020475,-1.5369013835333836,-0.08260408692624743
-1.7371622179467225,-1.654558131020475,-0.05000946270255091
-1.7871716806492735,-1.7371622179467225,-0.022377226962444707
-1.8095489076117182,-1.7871716806492735,-0.00046253555657305157
-1.8100114431682912,-1.8095489076117182,0.01721021823465141
-1.7928012249336398,-1.8100114431682912,0.0312116404407361
-1.7615895844929037,-1.7928012249336398,0.04220971410090657
-1.7193798703919971,-1.7615895844929037,0.05140383974183038
-1.6679760306501668,-1.7193798703919971,0.05939069188359669
-1.60858533876657,-1.6679760306501668,0.06659142609396373
-1.5419939126726063,-1.60858533876657,0.0734516837794017
-1.4685422288932046,-1.5419939126726063,0.08033148752983554
-1.388210741363369,-1.4685422288932046,0.08751040802595322
-1.3007003333374159,-1.388210741363369,0.09526931097684388
-1.205431022360572,-1.3007003333374159,0.10388906209159887
-1.101541960268973,-1.205431022360572,0.1135645405736434
-0.9879774196953297,-1.101541960268973,0.12479727279225561
-0.8631801469030741,-0.9879774196953297,0.1380090105277637
-0.7251711363753104,-0.8631801469030741,0.15336431412892804
-0.5718068222463824,-0.7251711363753104,0.17102756068141367
-0.4007792615649687,-0.5718068222463824,0.19116312727087814
-0.20961613429409054,-0.4007792615649687,0.21330776411530675
0.003691629821216208,-0.20961613429409054,0.23696874520715458
0.2406603750283708,0.003691629821216208,0.2588936066780926
0.49955398170646337,0.2406603750283708,0.2741487422889314
0.7737027239953947,0.49955398170646337,0.27780018672842177
1.0515029107238165,0.7737027239953947,0.26480154893546004
1.3163044596592766,1.0515029107238165,0.23309951338296253
1.549403973042239,1.3163044596592766,0.18864289881799
1.738046871860229,1.549403973042239,0.13898450398143458
-0.101067524831503,-0.24448624099179073,0.15921504779008752
0.058147522958584524,-0.101067524831503,0.17544987043797286
0.23359739339655738,0.058147522958584524,0.19030777453871223
0.4239051679352696,0.23359739339655738,0.2016229224271267
0.6255280903623963,0.4239051679352696,0.20722947643803646
0.8327575668004328,0.6255280903623963,0.2048068060754613
1.037564372875894,0.8327575668004328,0.19177336287079094
1.229337735746685,1.037564372875894,0.16943917799967778
1.3987769137463628,1.229337735746685,0.14086535372070852
1.5396422674670713,1.3987769137463628,0.10912781022936358
1.648770077696435,1.5396422674670713,0.07698601500054947
1.7257560926969844,1.648770077696435,0.04655375168196452
1.772309844378949,1.7257560926969844,0.02095133642250291
1.7932611808014518,1.772309844378949,-2.9245179960613044e-05
1.7932319356214912,1.7932611808014518,-0.01693896630105951
1.7762929693204317,1.7932319356214912,-0.030321036441540716
1.745971932878891,1.7762929693204317,-0.041053720739886
1.704918212139005,1.745971932878891,-0.050340557528411045
1.654577654610594,1.704918212139005,-0.058544038444624746
1.5960336161659692,1.654577654610594,-0.06592843935474191
1.5301051768112273,1.5960336161659692,-0.07276693758170727
1.45733823922952,1.5301051768112273,-0.07953026588986312
1.3778079733396569,1.45733823922952,-0.08659286472049721
1.2912151086191597,1.3778079733396569,-0.09421277431654973
1.19700233430261,1.2912151086191597,-0.10266715476202037
1.0943351795405896,1.19700233430261,-0.11223206983708689
0.9821031097035027,1.0943351795405896,-0.12319719175099353
0.8589059179525091,0.9821031097035027,-0.13596099829261177
0.7229449196598974,0.8589059179525091,-0.15080062032581965
0.5721442993340777,0.7229449196598974,-0.16795698440635098
0.40418731492772675,0.5721442993340777,-0.18740638616390354
0.2167809287638232,0.40418731492772675,-0.2093590533095861
0.007421875454237115,0.2167809287638232,-0.23227299447589644
-0.22485111902165933,0.007421875454237115,-0.2531638400852647
-0.47801495910692404,-0.22485111902165933,-0.26896149698984595
-0.74697645609677,-0.47801495910692404,-0.273396470089722
-1.020372926186492,-0.74697645609677,-0.2614484934979808
-1.2818214196844728,-1.020372926186492,-0.23305609598510224
-1.514877515669575,-1.2818214196844728,-0.189957095426178
-1.704834611095753,-1.514877515669575,-0.1413519644101804
-1.8461865755059335,-1.704834611095753,-0.09391155469637513
-1.9400981302023086,-1.8461865755059335,-0.05272392722806307
-1.9928220574303717,-1.9400981302023086,-0.02134280128181154
-2.014164858712183,-1.9928220574303717,0.00223294486466985
-2.0119319138475134,-2.014164858712183,0.019304907460630405
-1.992627006386883,-2.0119319138475134,0.031866522439546685
-1.9607604839473363,-1.992627006386883,0.04138763218889974
